x,y,Temperature
1.199999999999999956e-01,1.199999999999999956e-01,9.519039484593045586e+01
1.600000000000000033e-01,1.199999999999999956e-01,9.621454980262923584e+01
2.000000000000000111e-01,1.199999999999999956e-01,9.715893786148988909e+01
2.399999999999999911e-01,1.199999999999999956e-01,9.768927277610126225e+01
2.800000000000000266e-01,1.199999999999999956e-01,9.787010537248677622e+01
3.200000000000000067e-01,1.199999999999999956e-01,9.775856512452448044e+01
3.599999999999999867e-01,1.199999999999999956e-01,9.736044310340139418e+01
4.000000000000000222e-01,1.199999999999999956e-01,9.663294075993371735e+01
4.400000000000000022e-01,1.199999999999999956e-01,9.548175750471288836e+01
4.799999999999999822e-01,1.199999999999999956e-01,9.374358249008652422e+01
5.200000000000000178e-01,1.199999999999999956e-01,9.114626469279161824e+01
5.600000000000000533e-01,1.199999999999999956e-01,8.723488838531238798e+01
5.999999999999999778e-01,1.199999999999999956e-01,8.127949457687847712e+01
6.400000000000000133e-01,1.199999999999999956e-01,7.243973352533178911e+01
6.800000000000000488e-01,1.199999999999999956e-01,6.207672464155758263e+01
7.199999999999999734e-01,1.199999999999999956e-01,5.098668557077604646e+01
7.600000000000000089e-01,1.199999999999999956e-01,3.955212890603071685e+01
8.000000000000000444e-01,1.199999999999999956e-01,2.797106954459876249e+01
0.000000000000000000e+00,1.600000000000000033e-01,9.277062319238912380e+01
4.000000000000000083e-02,1.600000000000000033e-01,9.299349027679747337e+01
8.000000000000000167e-02,1.600000000000000033e-01,9.375856738627427944e+01
1.199999999999999956e-01,1.600000000000000033e-01,9.498259067858951710e+01
1.600000000000000033e-01,1.600000000000000033e-01,9.652178237298819852e+01
2.000000000000000111e-01,1.600000000000000033e-01,9.807444255640355379e+01
2.399999999999999911e-01,1.600000000000000033e-01,9.864580295749559014e+01
2.800000000000000266e-01,1.600000000000000033e-01,9.882691676242671974e+01
3.200000000000000067e-01,1.600000000000000033e-01,9.879350019861819021e+01
3.599999999999999867e-01,1.600000000000000033e-01,9.858827137741927515e+01
4.000000000000000222e-01,1.600000000000000033e-01,9.819793497929761372e+01
4.400000000000000022e-01,1.600000000000000033e-01,9.756866014156889833e+01
4.799999999999999822e-01,1.600000000000000033e-01,9.659245095989308538e+01
5.200000000000000178e-01,1.600000000000000033e-01,9.505429629426581073e+01
5.600000000000000533e-01,1.600000000000000033e-01,9.247407479676255093e+01
5.999999999999999778e-01,1.600000000000000033e-01,8.760074359019418466e+01
6.400000000000000133e-01,1.600000000000000033e-01,7.663890211815601106e+01
6.800000000000000488e-01,1.600000000000000033e-01,6.459937112395996905e+01
7.199999999999999734e-01,1.600000000000000033e-01,5.241759310973463926e+01
7.600000000000000089e-01,1.600000000000000033e-01,4.025287500147258868e+01
8.000000000000000444e-01,1.600000000000000033e-01,2.811222822891907924e+01
0.000000000000000000e+00,2.000000000000000111e-01,9.149473600225213943e+01
4.000000000000000083e-02,2.000000000000000111e-01,9.179085472687950187e+01
8.000000000000000167e-02,2.000000000000000111e-01,9.281905803844614411e+01
1.199999999999999956e-01,2.000000000000000111e-01,9.452081927378095827e+01
1.600000000000000033e-01,2.000000000000000111e-01,9.685952335988467610e+01
2.000000000000000111e-01,2.000000000000000111e-01,1.000000000000000000e+02
2.399999999999999911e-01,2.000000000000000111e-01,1.000000000000000000e+02
2.800000000000000266e-01,2.000000000000000111e-01,1.000000000000000000e+02
3.200000000000000067e-01,2.000000000000000111e-01,1.000000000000000000e+02
3.599999999999999867e-01,2.000000000000000111e-01,1.000000000000000000e+02
4.000000000000000222e-01,2.000000000000000111e-01,1.000000000000000000e+02
4.400000000000000022e-01,2.000000000000000111e-01,1.000000000000000000e+02
4.799999999999999822e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.200000000000000178e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.600000000000000533e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.999999999999999778e-01,2.000000000000000111e-01,1.000000000000000000e+02
