x,y,Temperature
5.999999999999999778e-01,1.199999999999999956e-01,8.162543309340239261e+01
6.400000000000000133e-01,1.199999999999999956e-01,7.295243919241524111e+01
6.800000000000000488e-01,1.199999999999999956e-01,6.278605556797004539e+01
7.199999999999999734e-01,1.199999999999999956e-01,5.190883614065732843e+01
7.600000000000000089e-01,1.199999999999999956e-01,4.069966711012995120e+01
8.000000000000000444e-01,1.199999999999999956e-01,2.936090785562913297e+01
0.000000000000000000e+00,1.600000000000000033e-01,9.277670135238881244e+01
4.000000000000000083e-02,1.600000000000000033e-01,9.299959534377015302e+01
8.000000000000000167e-02,1.600000000000000033e-01,9.376475662409586675e+01
1.199999999999999956e-01,1.600000000000000033e-01,9.498887960258963403e+01
1.600000000000000033e-01,1.600000000000000033e-01,9.652812938553881850e+01
2.000000000000000111e-01,1.600000000000000033e-01,9.808090349069992442e+01
2.399999999999999911e-01,1.600000000000000033e-01,9.865382770357470577e+01
2.800000000000000266e-01,1.600000000000000033e-01,9.883768874367315505e+01
3.200000000000000067e-01,1.600000000000000033e-01,9.880840972403663613e+01
3.599999999999999867e-01,1.600000000000000033e-01,9.860919599960266169e+01
4.000000000000000222e-01,1.600000000000000033e-01,9.822754946820977295e+01
4.400000000000000022e-01,1.600000000000000033e-01,9.761092119171128445e+01
4.799999999999999822e-01,1.600000000000000033e-01,9.665350954346401124e+01
5.200000000000000178e-01,1.600000000000000033e-01,9.514450354511842534e+01
5.600000000000000533e-01,1.600000000000000033e-01,9.261310694729124293e+01
5.999999999999999778e-01,1.600000000000000033e-01,8.783263080856488614e+01
6.400000000000000133e-01,1.600000000000000033e-01,7.708168044326691870e+01
6.800000000000000488e-01,1.600000000000000033e-01,6.527791905891292856e+01
7.199999999999999734e-01,1.600000000000000033e-01,5.334183584691127322e+01
7.600000000000000089e-01,1.600000000000000033e-01,4.143315314887885137e+01
8.000000000000000444e-01,1.600000000000000033e-01,2.956181258648068422e+01
0.000000000000000000e+00,2.000000000000000111e-01,9.149969859452320975e+01
4.000000000000000083e-02,2.000000000000000111e-01,9.179577574221492853e+01
8.000000000000000167e-02,2.000000000000000111e-01,9.282379999160016837e+01
1.199999999999999956e-01,2.000000000000000111e-01,9.452509893861102341e+01
1.600000000000000033e-01,2.000000000000000111e-01,9.686264390746596575e+01
2.000000000000000111e-01,2.000000000000000111e-01,1.000000000000000000e+02
2.399999999999999911e-01,2.000000000000000111e-01,1.000000000000000000e+02
2.800000000000000266e-01,2.000000000000000111e-01,1.000000000000000000e+02
3.200000000000000067e-01,2.000000000000000111e-01,1.000000000000000000e+02
3.599999999999999867e-01,2.000000000000000111e-01,1.000000000000000000e+02
4.000000000000000222e-01,2.000000000000000111e-01,1.000000000000000000e+02
4.400000000000000022e-01,2.000000000000000111e-01,1.000000000000000000e+02
4.799999999999999822e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.200000000000000178e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.600000000000000533e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.999999999999999778e-01,2.000000000000000111e-01,1.000000000000000000e+02
6.400000000000000133e-01,2.000000000000000111e-01,8.224333242785144193e+01
6.800000000000000488e-01,2.000000000000000111e-01,6.788223272534135333e+01
7.199999999999999734e-01,2.000000000000000111e-01,5.472948604188469091e+01
7.600000000000000089e-01,2.000000000000000111e-01,4.211320423753667797e+01
8.000000000000000444e-01,2.000000000000000111e-01,2.974309669416597757e+01
0.000000000000000000e+00,2.399999999999999911e-01,8.963054154127414108e+01
4.000000000000000083e-02,2.399999999999999911e-01,9.000804761281213473e+01
8.000000000000000167e-02,2.399999999999999911e-01,9.132379357807722897e+01
1.199999999999999956e-01,2.399999999999999911e-01,9.351013720013885688e+01
1.600000000000000033e-01,2.399999999999999911e-01,9.646413430482411400e+01
2.000000000000000111e-01,2.399999999999999911e-01,1.000000000000000000e+02
5.999999999999999778e-01,2.399999999999999911e-01,1.000000000000000000e+02
6.400000000000000133e-01,2.399999999999999911e-01,8.397572267643670330e+01
6.800000000000000488e-01,2.399999999999999911e-01,6.925401643719031597e+01
7.199999999999999734e-01,2.399999999999999911e-01,5.556089279130809189e+01
7.600000000000000089e-01,2.399999999999999911e-01,4.253003203575184443e+01
8.000000000000000444e-01,2.399999999999999911e-01,2.985412331531743746e+01
0.000000000000000000e+00,2.800000000000000266e-01,8.700637234494904249e+01
4.000000000000000083e-02,2.800000000000000266e-01,8.747083262545126559e+01
8.000000000000000167e-02,2.800000000000000266e-01,8.909938350389839457e+01
